0.177 -0.0966031 0.892102
0.178 -0.0977669 0.888423
0.179 -0.0988256 0.885624
0.18 -0.0998337 0.88347
0.181 -0.101006 0.881966
0.182 -0.102163 0.878096
0.183 -0.103344 0.875488
0.184 -0.104491 0.873989
0.185 -0.105566 0.871195
0.186 -0.106705 0.867348
0.187 -0.107864 0.865169
0.188 -0.109181 0.862305
0.189 -0.110094 0.858976
0.19 -0.111381 0.857315
0.191 -0.112483 0.854525
0.192 -0.113602 0.851407
0.193 -0.115036 0.849688
0.194 -0.116229 0.845635
0.195 -0.117301 0.842018
0.196 -0.11849 0.839683
0.197 -0.119841 0.836498
0.198 -0.120994 0.834201
0.199 -0.122213 0.831243
0.2 -0.123481 0.82736
0.201 -0.124637 0.823438
0.202 -0.12584 0.820742
0.203 -0.127076 0.816092
0.204 -0.128296 0.813265
0.205 -0.129594 0.810394
0.206 -0.131026 0.806744
0.207 -0.132302 0.80466
0.208 -0.133733 0.799631
0.209 -0.134771 0.796861
0.21 -0.136006 0.792045
0.211 -0.137336 0.789446
0.212 -0.138575 0.787164
0.213 -0.139896 0.781833
0.214 -0.141279 0.777678
0.215 -0.142598 0.774363
0.216 -0.143816 0.769547
0.217 -0.145213 0.767045
0.218 -0.146676 0.763862
0.219 -0.147874 0.759776
0.22 -0.149308 0.755138
0.221 -0.150493 0.752697
0.222 -0.151902 0.747703
0.223 -0.15329 0.740758
0.224 -0.154579 0.738716
0.225 -0.155943 0.734455
0.226 -0.157319 0.731569
0.227 -0.158959 0.725983
0.228 -0.160102 0.723753
0.229 -0.161537 0.720418
0.23 -0.163 0.713109
0.231 -0.164257 0.710095
0.232 -0.165613 0.703793
0.233 -0.166991 0.70082
0.234 -0.16858 0.696246
0.235 -0.169848 0.69104
0.236 -0.171455 0.687856
0.237 -0.172603 0.681122
0.238 -0.174215 0.676043
0.239 -0.175593 0.673111
0.24 -0.177218 0.669323
0.241 -0.178702 0.662082
0.242 -0.180042 0.657212
0.243 -0.18123 0.652015
0.244 -0.182806 0.648475
0.245 -0.184079 0.644561
0.246 -0.185636 0.639686
0.247 -0.187259 0.633468
0.248 -0.188908 0.630599
0.249 -0.19028 0.624054
0.25 -0.191843 0.619367
0.251 -0.193332 0.613499
0.252 -0.194608 0.608471
0.253 -0.195983 0.602887
0.254 -0.197781 0.597111
0.255 -0.19886 0.593891
0.256 -0.200581 0.587899
0.257 -0.202385 0.582145
0.258 -0.203622 0.573678
0.259 -0.205058 0.57014
0.26 -0.206326 0.563912
0.261 -0.207825 0.559082
